	1.167E-01	2.64E-03	1.59E-01	6.83E-04	0.00E+00	0.00E+00	1.62E-01	1.59E-01
	1.333E-01	2.03E-03	1.54E-01	4.40E-04	0.00E+00	0.00E+00	1.56E-01	1.54E-01
	1.500E-01	1.61E-03	1.49E-01	2.99E-04	0.00E+00	0.00E+00	1.51E-01	1.49E-01
	1.667E-01	1.31E-03	1.44E-01	2.12E-04	0.00E+00	0.00E+00	1.46E-01	1.45E-01
	1.833E-01	1.08E-03	1.40E-01	1.56E-04	0.00E+00	0.00E+00	1.42E-01	1.40E-01
	2.000E-01	9.13E-04	1.37E-01	1.18E-04	0.00E+00	0.00E+00	1.38E-01	1.37E-01
	2.333E-01	6.73E-04	1.30E-01	7.21E-05	0.00E+00	0.00E+00	1.31E-01	1.30E-01
	2.667E-01	5.16E-04	1.24E-01	4.75E-05	0.00E+00	0.00E+00	1.25E-01	1.24E-01
	3.000E-01	4.08E-04	1.19E-01	3.31E-05	0.00E+00	0.00E+00	1.19E-01	1.19E-01
	3.333E-01	3.31E-04	1.14E-01	2.41E-05	0.00E+00	0.00E+00	1.15E-01	1.14E-01
	3.667E-01	2.74E-04	1.10E-01	1.82E-05	0.00E+00	0.00E+00	1.11E-01	1.10E-01
	4.000E-01	2.30E-04	1.07E-01	1.41E-05	0.00E+00	0.00E+00	1.07E-01	1.07E-01
	4.333E-01	1.96E-04	1.03E-01	1.13E-05	0.00E+00	0.00E+00	1.04E-01	1.03E-01
	4.667E-01	1.69E-04	1.00E-01	9.17E-06	0.00E+00	0.00E+00	1.00E-01	1.00E-01
	5.000E-01	1.47E-04	9.74E-02	7.61E-06	0.00E+00	0.00E+00	9.76E-02	9.75E-02
	5.333E-01	1.30E-04	9.48E-02	6.42E-06	0.00E+00	0.00E+00	9.50E-02	9.48E-02
	5.667E-01	1.15E-04	9.24E-02	5.49E-06	0.00E+00	0.00E+00	9.25E-02	9.24E-02
	6.000E-01	1.02E-04	9.01E-02	4.73E-06	0.00E+00	0.00E+00	9.02E-02	9.01E-02
	8.000E-01	5.76E-05	7.92E-02	2.39E-06	0.00E+00	0.00E+00	7.93E-02	7.92E-02
	1.000E+00	3.69E-05	7.12E-02	1.48E-06	0.00E+00	0.00E+00	7.13E-02	7.12E-02
